NAME,rent_burden,zip code tabulation area,zip
ZCTA5 10001,10953,10001,10001
ZCTA5 10002,29804,10002,10002
ZCTA5 10003,16060,10003,10003
ZCTA5 10004,1230,10004,10004
ZCTA5 10005,4067,10005,10005
ZCTA5 10006,1683,10006,10006
ZCTA5 10007,2031,10007,10007
ZCTA5 10009,26835,10009,10009
ZCTA5 10010,11422,10010,10010
ZCTA5 10011,18316,10011,10011
ZCTA5 10012,9174,10012,10012
ZCTA5 10013,8994,10013,10013
ZCTA5 10014,12530,10014,10014
ZCTA5 10016,21938,10016,10016
ZCTA5 10017,6356,10017,10017
ZCTA5 10018,4120,10018,10018
ZCTA5 10019,20245,10019,10019
ZCTA5 10021,11389,10021,10021
ZCTA5 10022,9288,10022,10022
ZCTA5 10023,22108,10023,10023
ZCTA5 10024,18178,10024,10024
ZCTA5 10025,28538,10025,10025
ZCTA5 10026,12223,10026,10026
ZCTA5 10027,21138,10027,10027
ZCTA5 10028,15727,10028,10028
ZCTA5 10029,31122,10029,10029
ZCTA5 10030,11216,10030,10030
ZCTA5 10031,19171,10031,10031
ZCTA5 10032,20214,10032,10032
ZCTA5 10033,17498,10033,10033
ZCTA5 10034,14430,10034,10034
ZCTA5 10035,13388,10035,10035
ZCTA5 10036,17353,10036,10036
ZCTA5 10037,9420,10037,10037
ZCTA5 10038,7787,10038,10038
ZCTA5 10039,10363,10039,10039
ZCTA5 10040,14099,10040,10040
ZCTA5 10044,3994,10044,10044
ZCTA5 10065,10877,10065,10065
ZCTA5 10069,2118,10069,10069
ZCTA5 10075,7021,10075,10075
ZCTA5 10128,20244,10128,10128
ZCTA5 10280,2948,10280,10280
ZCTA5 10282,2395,10282,10282
ZCTA5 10301,7765,10301,10301
ZCTA5 10302,2616,10302,10302
ZCTA5 10303,3141,10303,10303
ZCTA5 10304,7797,10304,10304
ZCTA5 10305,5400,10305,10305
ZCTA5 10306,5480,10306,10306
ZCTA5 10307,1001,10307,10307
ZCTA5 10308,2185,10308,10308
ZCTA5 10309,2361,10309,10309
