NAME,median_income,zip code tabulation area,zip
ZCTA5 10001,106509,10001,10001
ZCTA5 10002,43362,10002,10002
ZCTA5 10003,152863,10003,10003
ZCTA5 10004,232543,10004,10004
ZCTA5 10005,189886,10005,10005
ZCTA5 10006,204574,10006,10006
ZCTA5 10007,250001,10007,10007
ZCTA5 10009,83344,10009,10009
ZCTA5 10010,150288,10010,10010
ZCTA5 10011,145934,10011,10011
ZCTA5 10012,126890,10012,10012
ZCTA5 10013,150675,10013,10013
ZCTA5 10014,147267,10014,10014
ZCTA5 10016,145864,10016,10016
ZCTA5 10017,139964,10017,10017
ZCTA5 10018,149118,10018,10018
ZCTA5 10019,113335,10019,10019
ZCTA5 10021,149432,10021,10021
ZCTA5 10022,161236,10022,10022
ZCTA5 10023,151468,10023,10023
ZCTA5 10024,166994,10024,10024
ZCTA5 10025,106916,10025,10025
ZCTA5 10026,68831,10026,10026
ZCTA5 10027,63125,10027,10027
ZCTA5 10028,160244,10028,10028
ZCTA5 10029,35640,10029,10029
ZCTA5 10030,47765,10030,10030
ZCTA5 10031,64807,10031,10031
ZCTA5 10032,56752,10032,10032
ZCTA5 10033,77209,10033,10033
ZCTA5 10034,65109,10034,10034
ZCTA5 10035,36989,10035,10035
ZCTA5 10036,102287,10036,10036
ZCTA5 10037,50177,10037,10037
ZCTA5 10038,99641,10038,10038
ZCTA5 10039,51904,10039,10039
ZCTA5 10040,59115,10040,10040
ZCTA5 10044,120759,10044,10044
ZCTA5 10065,158276,10065,10065
ZCTA5 10069,197680,10069,10069
ZCTA5 10075,140736,10075,10075
ZCTA5 10128,137253,10128,10128
ZCTA5 10280,206150,10280,10280
ZCTA5 10282,250001,10282,10282
ZCTA5 10301,84855,10301,10301
ZCTA5 10302,75588,10302,10302
ZCTA5 10303,78578,10303,10303
ZCTA5 10304,69479,10304,10304
ZCTA5 10305,84764,10305,10305
ZCTA5 10306,94758,10306,10306
ZCTA5 10307,124738,10307,10307
ZCTA5 10308,122647,10308,10308
ZCTA5 10309,110123,10309,10309
ZCTA5 10310,105523,10310,10310
ZCTA5 10312,107414,10312,10312
ZCTA5 10314,103436,10314,10314
ZCTA5 10451,34316,10451,10451
ZCTA5 10452,36536,10452,10452
ZCTA5 10453,34800,10453,10453
ZCTA5 10454,26400,10454,10454
ZCTA5 10455,35813,10455,10455
ZCTA5 10456,33317,10456,10456
ZCTA5 10457,41145,10457,10457
ZCTA5 10458,41550,10458,10458
ZCTA5 10459,41270,10459,10459
ZCTA5 10460,33080,10460,10460
ZCTA5 10461,64444,10461,10461
ZCTA5 10462,63431,10462,10462
ZCTA5 10463,66780,10463,10463
ZCTA5 10464,129109,10464,10464
ZCTA5 10465,85946,10465,10465
ZCTA5 10466,60892,10466,10466
ZCTA5 10467,46228,10467,10467
ZCTA5 10468,43985,10468,10468
ZCTA5 10469,76731,10469,10469
ZCTA5 10470,75750,10470,10470
ZCTA5 10471,111418,10471,10471
ZCTA5 10472,40025,10472,10472
ZCTA5 10473,51379,10473,10473
ZCTA5 10474,40795,10474,10474
ZCTA5 10475,57003,10475,10475
ZCTA5 11004,112311,11004,11004
ZCTA5 11101,109625,11101,11101
ZCTA5 11102,103409,11102,11102
ZCTA5 11103,88116,11103,11103
ZCTA5 11104,83493,11104,11104
ZCTA5 11105,97233,11105,11105
ZCTA5 11106,81729,11106,11106
ZCTA5 11109,173939,11109,11109
ZCTA5 11201,163310,11201,11201
ZCTA5 11203,68006,11203,11203
ZCTA5 11204,64172,11204,11204
ZCTA5 11205,74839,11205,11205
ZCTA5 11206,51507,11206,11206
ZCTA5 11207,52569,11207,11207
ZCTA5 11208,56298,11208,11208
ZCTA5 11209,88546,11209,11209
ZCTA5 11210,82904,11210,11210
ZCTA5 11211,94824,11211,11211
ZCTA5 11212,35840,11212,11212
ZCTA5 11213,54211,11213,11213
ZCTA5 11214,60152,11214,11214
ZCTA5 11215,173899,11215,11215
ZCTA5 11216,92684,11216,11216
ZCTA5 11217,152735,11217,11217
ZCTA5 11218,87759,11218,11218
ZCTA5 11219,51194,11219,11219
ZCTA5 11220,62804,11220,11220
ZCTA5 11221,77600,11221,11221
ZCTA5 11222,126250,11222,11222
ZCTA5 11223,61356,11223,11223
ZCTA5 11224,40467,11224,11224
ZCTA5 11225,82716,11225,11225
ZCTA5 11226,75947,11226,11226
