NAME,housing_units,zip code tabulation area,zip
ZCTA5 10001,16975,10001,10001
ZCTA5 10002,39094,10002,10002
ZCTA5 10003,30766,10003,10003
ZCTA5 10004,2706,10004,10004
ZCTA5 10005,6272,10005,10005
ZCTA5 10006,2422,10006,10006
ZCTA5 10007,3702,10007,10007
ZCTA5 10009,32019,10009,10009
ZCTA5 10010,18966,10010,10010
ZCTA5 10011,35017,10011,10011
ZCTA5 10012,14271,10012,10012
ZCTA5 10013,15523,10013,10013
ZCTA5 10014,21554,10014,10014
ZCTA5 10016,36447,10016,10016
ZCTA5 10017,12858,10017,10017
ZCTA5 10018,5409,10018,10018
ZCTA5 10019,32995,10019,10019
ZCTA5 10021,29104,10021,10021
ZCTA5 10022,25127,10022,10022
ZCTA5 10023,45408,10023,10023
ZCTA5 10024,36324,10024,10024
ZCTA5 10025,47715,10025,10025
ZCTA5 10026,17307,10026,10026
ZCTA5 10027,27462,10027,10027
ZCTA5 10028,29517,10028,10028
ZCTA5 10029,37150,10029,10029
ZCTA5 10030,14350,10030,10030
ZCTA5 10031,24314,10031,10031
ZCTA5 10032,24160,10032,10032
ZCTA5 10033,21980,10033,10033
ZCTA5 10034,16913,10034,10034
ZCTA5 10035,16239,10035,10035
ZCTA5 10036,22524,10036,10036
ZCTA5 10037,11244,10037,10037
ZCTA5 10038,12671,10038,10038
ZCTA5 10039,12933,10039,10039
ZCTA5 10040,17430,10040,10040
ZCTA5 10044,5908,10044,10044
ZCTA5 10065,22221,10065,10065
ZCTA5 10069,3851,10069,10069
ZCTA5 10075,15702,10075,10075
ZCTA5 10128,35464,10128,10128
ZCTA5 10280,4819,10280,10280
ZCTA5 10282,2880,10282,10282
ZCTA5 10301,16611,10301,10301
ZCTA5 10302,6816,10302,10302
ZCTA5 10303,9455,10303,10303
ZCTA5 10304,17052,10304,10304
ZCTA5 10305,16975,10305,10305
ZCTA5 10306,21164,10306,10306
ZCTA5 10307,5471,10307,10307
ZCTA5 10308,11373,10308,10308
ZCTA5 10309,12397,10309,10309
ZCTA5 10310,10029,10310,10310
ZCTA5 10312,22553,10312,10312
ZCTA5 10314,33628,10314,10314
ZCTA5 10451,21335,10451,10451
ZCTA5 10452,28819,10452,10452
ZCTA5 10453,28859,10453,10453
ZCTA5 10454,15157,10454,10454
ZCTA5 10455,16528,10455,10455
ZCTA5 10456,33141,10456,10456
ZCTA5 10457,27161,10457,10457
ZCTA5 10458,31146,10458,10458
ZCTA5 10459,18512,10459,10459
ZCTA5 10460,23142,10460,10460
ZCTA5 10461,20047,10461,10461
ZCTA5 10462,31876,10462,10462
ZCTA5 10463,30382,10463,10463
ZCTA5 10464,2126,10464,10464
ZCTA5 10465,17017,10465,10465
ZCTA5 10466,25761,10466,10466
ZCTA5 10467,40529,10467,10467
ZCTA5 10468,29270,10468,10468
ZCTA5 10469,24691,10469,10469
ZCTA5 10470,6578,10470,10470
ZCTA5 10471,9238,10471,10471
ZCTA5 10472,24370,10472,10472
ZCTA5 10473,23439,10473,10473
ZCTA5 10474,4020,10474,10474
ZCTA5 10475,18715,10475,10475
ZCTA5 11004,5604,11004,11004
ZCTA5 11101,24983,11101,11101
ZCTA5 11102,19366,11102,11102
ZCTA5 11103,18508,11103,11103
ZCTA5 11104,13115,11104,11104
ZCTA5 11105,17602,11105,11105
ZCTA5 11106,21408,11106,11106
ZCTA5 11109,4842,11109,11109
ZCTA5 11201,35121,11201,11201
ZCTA5 11203,32743,11203,11203
ZCTA5 11204,27408,11204,11204
ZCTA5 11205,18788,11205,11205
ZCTA5 11206,34062,11206,11206
ZCTA5 11207,37638,11207,11207
ZCTA5 11208,37368,11208,11208
ZCTA5 11209,33347,11209,11209
ZCTA5 11210,23064,11210,11210
ZCTA5 11211,28618,11211,11211
ZCTA5 11212,34529,11212,11212
ZCTA5 11213,28552,11213,11213
ZCTA5 11214,33482,11214,11214
ZCTA5 11215,31967,11215,11215
ZCTA5 11216,28596,11216,11216
ZCTA5 11217,20908,11217,11217
ZCTA5 11218,27395,11218,11218
ZCTA5 11219,27374,11219,11219
ZCTA5 11220,30565,11220,11220
ZCTA5 11221,37962,11221,11221
ZCTA5 11222,20806,11222,11222
ZCTA5 11223,29145,11223,11223
ZCTA5 11224,21072,11224,11224
ZCTA5 11225,26703,11225,11225
ZCTA5 11226,41821,11226,11226
ZCTA5 11228,16650,11228,11228
ZCTA5 11229,33403,11229,11229
